"title","imdb_id","genres","overview","poster_path"
"He's Just Not That Into You","1001508","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]","Remember that really cute guy who said he'd call – and didn't? Maybe he lost your number. Maybe he's in the hospital. Maybe he's awed by your beauty, brains or success. Or maybe... he's just not that into you.","/edhRz4ESv4ElTA6wWfBMurwrQwJ.jpg"
"Mindwalk","100151","[{'id': 18, 'name': 'Drama'}]","A US politician visits his poet friend in Mont. St. Michael, France. While walking through the medieval island discussing their philosophies of life they happen upon Sonja, a scientist in recluse, who joins in their conversation. The two men listen to the ideas of this brilliant woman and discuss how her ideas can work in their own politician and poet lives.","/h0LCQuChi9zjYdWMo0TO9B9hhtN.jpg"
"Megamind","1001526","[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]","Bumbling supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.","/amXAUSAUrnGuLGEyc1ZNhBvgbnF.jpg"
"Witless Protection","1001562","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]","The story centers on a small-town sheriff who witnesses what he believes is a kidnapping and rushes to rescue a woman. The kidnappers turn out to be FBI agents assigned to protect her and deliver her to a big Enron-type corruption trial in Chicago but are later found to be on the take and are villains who are bent on killing her","/rGjoImhY5qbmWA4rX566oNdLkF4.jpg"
"Misery","100157","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","Novelist Paul Sheldon crashes his car on a snowy Colorado road. He is found by Annie Wilkes, the ""number one fan"" of Paul's heroine Misery Chastaine. Annie is also somewhat unstable, and Paul finds himself crippled, drugged and at her mercy.","/s0Ot5zUmVF1jSN9WpBHRafvUPld.jpg"
"Mo' Better Blues","100168","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Opens with Bleek as a child learning to play the trumpet, his friends want him to come out and play but mother insists he finish his lessons. Bleek grows into adulthood and forms his own band - The Bleek Gilliam Quartet. The story of Bleek's and Shadow's friendly rivalry on stage which spills into their professional relationship and threatens to tear apart the quartet.","/eF6mhJfx3CAHXcbbLKt8Knj0YSL.jpg"
"Mr & Mrs Bridge","100200","[{'id': 18, 'name': 'Drama'}]","It's about a five member family. The father is a conservative and traditional person who directs the family. The mother is at home, she tries to hold together the family, while Mr. Bridge works as a lawyer. The children have just grown up, and the complications are derived from that they have a more modern view of life.","/4pQugqPpr63RWJi0IjiAOSVlTPc.jpg"
"Mr. Destiny","100201","[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]","Larry Burrows is unhappy and feels powerless over his life. He believes his entire life could have turned out differently had he not missed that shot in a baseball game when was a kid. One night he meets this mysterious man, who could change his fate by offering him that alternative life he always dreamed of. But as Burrows embarks on this journey of self discovery he realises that even this new life has its problems and drawbacks..","/6dgR1qZK3cTx90P8T6pmVCWYyko.jpg"
"Music Box","100211","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]","A lawyer defends her father accused of war crimes, but there is more to the case than she suspects.","/k4t8cE0HwuYLNaKZBdkFHB0b3Y2.jpg"
"My Blue Heaven","100212","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]","FBI agent Barney Coopersmith is assigned to protect former Mafia figure turned informant Vincent Antonelli. In the witness protection program one is supposed to keep a low profile, but that is something that Antonelli has trouble doing. Coopersmith certainly has his hands full keeping Antonelli away from the Mafia hitmen who want to stop him testifying, not to mention the nightclubs...","/4rTJLIBocmu1WjadfcZL2nsivZd.jpg"
"The Neverending Story II: The Next Chapter","100240","[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]","Once again, Bastian is transported to the world of Fantasia which he recently managed to save from destruction. However, the land is now being destroyed by an evil sorceress, Xayide, so he must join up with Atreyu and face the Emptiness once more.","/phOI8kStf6pSxsAI3OaBpiw0ypZ.jpg"
"Nightbreed","100260","[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]","A troubled young man is drawn to a mythical place called Midian where a variety of monsters are hiding from humanity.","/d9T7jZmyXr5htsDtqipveqmKbAa.jpg"
"La Femme Nikita","100263","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","A beautiful felon, sentenced to life in prison for the murder of a policeman, is given a second chance - as a secret political assassin controlled by the government.","/mjSe0ehEPaSRMFYF9qVFGpk9ubM.jpg"
"Nuns on the Run","100280","[{'id': 35, 'name': 'Comedy'}]","Brian and Charlie work for a gangster. When the boss learns they want to ""leave"" he sets them up to be killed, after they help rob the local Triads of their drug dealing profits. B&amp;C decide to steal the money for themselves, but when their escape doesn't go to plan, they have to seek refuge in a Nuns' teacher training school.","/7LIhW6yjQl54kjq1tDGwx11jNYl.jpg"
"Pete Seeger: The Power of Song","1003116","[{'id': 99, 'name': 'Documentary'}]","Interviews, archival footage and home movies are used to illustrate a social history of folk artists Pete Seeger.","/8oxyrppo3XKScWG65iosRv2XWPE.jpg"
"Pacific Heights","100318","[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","A couple works hard to renovate their dream house and become landlords to pay for it. Unfortunately one of their tenants has plans of his own.","/dAkfUZz0nuG2M7wPAnYwSENuJNe.jpg"
"Paris is Burning","100332","[{'id': 99, 'name': 'Documentary'}]","A chronicle of New York City's drag scene in the 1980s, focusing on balls, voguing and the ambitions and dreams of those who gave the era its warmth and vitality.","/UeNcbdtVcBZk0ggUBVaXwO2Dbe.jpg"
"Patlabor: The Movie","100339","[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}]","A mysterious suicide and a series of unmanned robot run-aways sparks off a Police investigation into the suspicious software on-board thousands of industrial robots around Tokyo.","/uX58ae3iJNdLjPsI2xIgA0sERpM.jpg"
"Postcards from the Edge","100395","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","Substance-addicted Hollywood actress Suzanne Vale is on the skids. After a spell at a detox centre her film company insists as a condition of continuing to employ her that she live with her mother Doris Mann, herself once a star and now a champion drinker. Such a set-up is bad news for Suzanne who has struggled for years to get out of her mother's shadow, and who finds her mother still treats her like a child. Despite these problems - and further ones to do with the men in in her life - Suzanne can begin to see the funny side of her situation, and it also starts to occur to her that not only do daughters have mothers, mothers do too.","/gwP68DUIxTj3OrZT88LQDnMO6hr.jpg"
"Predator 2","100403","[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","Ten years after a band of mercenaries first battled a vicious alien, the invisible creature from another world has returned to Earth -- and this time, it's drawn to the gang-ruled and ravaged city of Los Angeles. When it starts murdering drug dealers, detective-lieutenant Mike Harrigan and his police force set out to capture the creature, ignoring warnings from a mysterious government agent to stay away.","/4cAQgbIPislEeBJahLO5BsqAUZN.jpg"
"Presumed Innocent","100404","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]","Life takes a nasty twist for D.A. Rusty Sabich when the woman he has been romantically involved with is murdered. He is assigned to investigate the case, but is soon charged with the murder.","/sE6tuclHXvrst1ZFAYwcPr1OT1L.jpg"
"Pretty Woman","100405","[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]","When millionaire wheeler-dealer Edward Lewis enters a business contract with Hollywood hooker Vivian Ward, he loses his heart in the bargain in this charming romantic comedy. After Edward hires Vivian as his date for a week and gives her a Cinderella makeover, she returns the favor by mellowing the hardnosed tycoon's outlook. Can the poor prostitute and the rich capitalist live happily ever after?","/fgmdaCMxXClZm2ePteLzCPySB1n.jpg"
"Problem Child","100419","[{'id': 35, 'name': 'Comedy'}]","Ben Healy (John Ritter) and his social climbing wife Flo adopt Junior a fun-loving seven year old. But they soon discover he's a little monster as he turns a camping trip, a birthday party and even a baseball game into comic nightmares. But is he really just a little angel trying to get out? Find out in this hilarious satire on modern-day family life.","/mQQIv4xsAwT9JNB6VYIaJLbkBRZ.jpg"
"Pump up the Volume","100436","[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}]","Mark is an intelligent but shy teenager who has just moved to Arizona from the East Coast. His parents give him a short-wave radio so he can talk to his pals, but instead he sets up shop as pirate deejay Hard Harry, who becomes a hero to his peers while inspiring the wrath of the local high school principal.","/5Re4KeKhTXRdTb52R31zNisGwqc.jpg"
"Puppet Master II","100438","[{'id': 27, 'name': 'Horror'}]","The puppets return, this time they hunt some Paranormal Researchers to take their brain fluid for the dead/living puppet master, Andre Toulon","/jkUbYBbd8JKdZrNgE12Iu8PvLlj.jpg"
"Q & A","100442","[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","A young district attorney seeking to prove a case against a corrupt police detective encounters a former lover and her new protector, a crime boss who refuse to help him.","/kj71RhVRiG9a3pmq2QnVKVwrQwb.jpg"
"Quick Change","100449","[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]","With the aid of his girlfriend, Phyllis Potter, and best friend, Loomis, Grimm enters a Manhattan bank dressed as a clown, creates a hostage situation and executes a flawless robbery. The only thing left for the trio to do is make their getaway out of the city and to the airport. It sounds simple enough, but it seems that fate deserts them immediately after the bank heist. One mishap after another conspires to keep these robbers from reaching freedom.","/jvaXUsDiX3r2RgVrdNK5SstsEqT.jpg"
"The Reflecting Skin","100469","[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","A young boy tries to cope with rural life circa 1950s and his fantasies become a way to interpret events. After his father tells him stories of vampires, he becomes convinced that the widow up the road is a vampire, and tries to find ways of discouraging his brother from seeing her.","/jw3c8vJY7oMd2iltFEfRy1KjN0L.jpg"
"Repossessed","100475","[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]","It's been some time since Father Jebedaiah Mayii exorcised the Devil from little Nancy Aglet, who is now grown up with a husband and two children of her own. But the prince of darkness wants to go a second round and has returned to repossess her! With Father Mayii unwilling to help, Father Luke Brophy tries his best to help Nancy, even when TV's Ernest Weller plans to air the exorcism live on TV.","/xBqAXQVws3gvzjk2S6vD7i3Ok8f.jpg"
"The Rescuers Down Under","100477","[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 80, 'name': 'Crime'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]","A lawless poacher wants to capture a majestic and rare golden eagle, so he kidnaps the boy who knows where to find the bird. Not to worry -- the Rescue Aid Society's top agents, heroic mice Miss Bianca and Bernard, fly to Australia to save the day. Accompanying the fearless duo are bumbling albatross Wilbur and local field operative Jake the Kangaroo Rat.","/vweXLAZP6E55EaMeedndhBdXQGu.jpg"
"Reversal of Fortune","100486","[{'id': 18, 'name': 'Drama'}]","Wealthy Sunny von Bülow lies brain-dead, husband Claus guilty of attempted murder; but he says he's innocent and hires Alan Dershowitz for his appeal.","/7n8Rl18eWdR1r7xRJWBPzfhPYxy.jpg"
"RoboCop 2","100502","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","After a successful deployment of the Robocop Law Enforcement unit, OCP sees its goal of urban pacification come closer and closer, but as this develops, a new narcotic known as ""Nuke"" invades the streets led by God-delirious leader Cane. As this menace grows, it may prove to be too much for Murphy to handle. OCP tries to replicate the success of the first unit, but ends up with failed prototypes with suicidal issues... until Dr. Faxx, a scientist straying away from OCP's path, uses Cane as the new subject for the Robocop 2 project, a living God.","/uJRmNEKXmpX1OSOP5u67MlSbfNx.jpg"
"Rocky V","100507","[{'id': 18, 'name': 'Drama'}]","A lifetime of taking shots has ended Rocky's career, and a crooked accountant has left him broke. Inspired by the memory of his trainer, however, Rocky finds glory in training and takes on an up-and-coming boxer.","/5P2RiuLt31mWyb6duww8qlAhs6G.jpg"
"Rosencrantz & Guildenstern Are Dead","100519","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","Two minor characters from the play, ""Hamlet"" stumble around unaware of their scripted lives and unable to deviate from them.","/85W0AoRbaLUsZIrnfN68PP9UcTD.jpg"
"The Russia House","100530","[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]","An expatriate British publisher unexpectedly finds himself working for British intelligence to investigate people in Russia.","/y3Geqg8cEd7Z8YHyWkzE1vkcz6z.jpg"
"The Sheltering Sky","100594","[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","An American couple (John Malkovich, Debra Winger) drift toward emptiness in postwar North Africa.","/tT0YkWpOYM8YpG8GTJQ2qXjhqRa.jpg"
"A Shock to the System","100602","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","Madison Avenue executive Graham Marshall has paid his dues. A talented and devoted worker, he has suffered through mounting bills and a nagging wife with one thing to look forward to: a well-deserved promotion. But when the promotion is given to a loud-mouthed yuppie associate, Graham unleashes his rage on an overly aggressive panhandler, who he accidently kills by pushing him into the path of an oncoming subway train. He re-thinks his problems with an entirely new solution. First, he arranges an ""accident"" for his annoying wife. Then he creates another ""mishap"" for his boss. It seems like the world is once more Graham's oyster…but a missing cigarette lighter and a prying police detective may change all that.","/waWvE9BkIpCp074A3R3NAC0Rcaq.jpg"
"A Chinese Ghost Story II","100625","[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","Several years after his beloved Nieh has gone, Ning is innocently put into jail. Luckily, he meets a scholar, Elder Chu Kot, in the prison who finally helps him escape. Ning then meets a young witty monk Autumn. They become friends and live in an abandoned villa together. The villa is horrific, yet they choose to stay for a while. Later that night, some ghosts suddenly appear and attack; two parties fight heavily. But after clarifications, Ning and Autumn find that ""the ghosts"" are humans in disguise, who intend to save their leader from imprisonment but not hurting innocence. Among them, Ning finds someone who looks identical to Nieh, and considers she is the reincarnated Nieh. A real giant zombie has seen all these in behind and is ready to ambush...","/u3vlM1NbA2UGE1qkBhvGWTlSN87.jpg"
"Slumber Party Massacre III","100639","[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]","After a hard day of volleyball at the beach, a teen whose parents are away decides to have a slumber party with her girlfriends. Their boyfriends predictably show up to scare them, but a stranger from the beach is also seen lurking around the house. Soon the group begins experiencing an attrition problem.","/h6Uyoi3Ppb5viyTPVtx3ysO1xnp.jpg"
"Sorority House Massacre II","100663","[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","Five college women buy the old Hokstedter place for their new sorority house. They got it cheap because of the bloody incidents from five years before. They decide to stay in it for the night so they can meet the movers in the morning, but begin to get the creeps when the weird neighbor Orville Ketchum starts poking around. Shortly after the women take showers and consult a Ouija board they begin experiencing an attrition problem.","/h6cCCjnU2MsvMYucg3VQwvyUnqE.jpg"
"Stanley & Iris","100680","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","An illiterate cook at a company cafeteria tries for the attention of a newly widowed woman. As they get to know one another, she discovers his inability to read. When he is fired, she takes on trying to teach him to read in her kitchen each night.","/AugbguhFPQ2aHDKMyBecaJiQLWy.jpg"
"State of Grace","100685","[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","Terry Noonan returns home to New York's Hells Kitchen after a ten year absence. He soon hooks up with childhood pal Jackie who is involved in the Irish mob run by his brother Frankie. Terry also rekindles an old flame with Jackie's sister Kathleen. Soon, however, Terry is torn between his loyalty to his friends and his loyalties to others.","/5vwP5vUBqizNI5O7UU6mAgkTkGa.jpg"
"Zack and Miri Make a Porno","1007028","[{'id': 35, 'name': 'Comedy'}]","Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.","/zxwEJBhSSu5AuKTTd4ugWaCqmg.jpg"
"The Iron Lady","1007029","[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]","A look at the life of Margaret Thatcher, the former Prime Minister of the United Kingdom, with a focus on the price she paid for power.","/e67tal4u66eFz8yGnJGTO5FYRxY.jpg"
"Tales from the Darkside: The Movie","100740","[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]","The first segment features an animated mummy stalking selected student victims; the second tale tells the story of a ""cat from hell"" who cannot be killed and leaves a trail of victims behind it; the third story is about a man who witnesses a bizarre killing and promises never to tell what he saw and the ""in-between"" bit is the story of a woman preparing to cook her newspaper boy for supper.","/7IDTVLpSYGNYqLE2QnixboLOU32.jpg"
"Teenage Mutant Ninja Turtles","100758","[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","A quartet of mutated humanoid turtles clash with an uprising criminal gang of ninjas","/cok0SSxmD7fYeZj6l9XOr2mb0YL.jpg"
"To Sleep with Anger","100791","[{'id': 18, 'name': 'Drama'}]","An enigmatic drifter from the South comes to visit an old acquaintance who now lives in South-Central LA.","/j0GC5btLtbpgMjqHM9sRgOG2swx.jpg"
"Total Recall","100802","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]","Construction worker Douglas Quaid discovers a memory chip in his brain during a virtual-reality trip. He also finds that his past has been invented to conceal a plot of planetary domination. Soon, he's off to Mars to find out who he is and who planted the chip.","/ikYpJ0AjGBNnAYFnPJDUVIOcduR.jpg"
"Tremors","100814","[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}]","Hick handymen Val McKee and Earl Bassett can barely eke out a living in the Nevada hamlet of Perfection, so they decide to leave town -- despite an admonition from a shapely seismology coed who's picking up odd readings on her equipment. Before long, Val and Earl discover what's responsible for those readings: 30-foot-long carnivorous worms with a proclivity for sucking their prey underground.","/kv9ct0Nn6VX43uYSsqfyKwRalUC.jpg"
"The Two Jakes","100828","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]","This sequel to the classic Chinatown finds private detective Jake Gittes still haunted from the events of the first film. Hired by a man to investigate his wife's infidelities, Jake once again finds himself involved in a complicated plot involving murder, oil, and even some ghosts from his past.","/yIVkNzi08VNs8aFd5uxGHDI29Fg.jpg"
"The Unbelievable Truth","100842","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","After serving time for murder, Josh Hutton returns to his home town where he meets Audry Hugo. No one can remember exactly what Josh did...","/hNGeB4gwi50PaZEeCtNcK0WzXGX.jpg"
"Vincent & Theo","100873","[{'id': 18, 'name': 'Drama'}]","The tragic story of Vincent van Gogh broadened by focusing as well on his brother Theodore, who helped support Vincent. Based on the letters written between the two.","/2ZCnkRIRH66aPkhHJsv4MQzwDr4.jpg"
"Werner - Beinhart!","100912","[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}]","Comic artist Brösel trades a magic pen that helps him come up with funny stories for the promise to fulfill one of Rumpelstiltskin's wishes. The resulting animated films show episodes of the life of Werner, a plumber apprentice and motorbike enthusiast and his friends. They are interspersed with the live-action portions.","/oEFOFSZ3QYHRnhLBy4g8sCmayPI.jpg"
"Wild Orchid","100934","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","A woman lawyer becomes mesmerized by a self-made millionaire during an encounter in Rio setting off a series of erotic encounters.","/pG3A7idSdod3X7a2WcdT3OSOtuJ.jpg"
"Wild at Heart","100935","[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.","/d4fbQjSSBd4FPyAROln1skafChr.jpg"
"The Witches","100944","[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]","A young boy named Luke and his grandmother go on vacation only to discover their hotel is hosting an international witch convention, where the Grand High Witch is unveiling her master plan to turn all children into mice. Will Luke fall victim to the witches' plot before he can stop them?","/kke639pfyxMNy8LekWSBVHbljeO.jpg"
